FrameId	Name	Kegg	InChI	Smiles	Gibbs-0	cpd	nC
BUTYRAMIDE	butyramide	NIL	InChI=1S/C4H9NO/c1-2-3-4(5)6/h2-3H2,1H3,(H2,5,6)	CCCC(N)=O	51.370094	./dsgdb9nsd_000262.xyz	4
CPD-282	cyclohex-2-enone	C02395	InChI=1S/C6H8O/c7-6-4-2-1-3-5-6/h2,4H,1,3,5H2	C1(CCC(C=C1)=O)	76.978966	./dsgdb9nsd_002060.xyz	6
CPD-7031	3-methylbutanal	C07329	InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3	CC(C)C[CH]=O	71.711205	./dsgdb9nsd_000255.xyz	5
CPD-9383	glycine methyl ester	NIL	InChI=1S/C3H7NO2/c1-6-3(5)2-4/h2,4H2,1H3	C([NH2])C(=O)OC	-3.3921611000000005	./dsgdb9nsd_000365.xyz	3
CYTOSINE	cytosine	C00380	InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)	C1(NC(=O)N=C(N)C=1)	19.9056	./dsgdb9nsd_004243.xyz	4
CYTOSINE	cytosine	C00380	InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)	C1(NC(=O)N=C(N)C=1)	19.9056	./dsgdb9nsd_004318.xyz	4
CYTOSINE	cytosine	C00380	InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)	C1(NC(=O)N=C(N)C=1)	19.9056	./dsgdb9nsd_004371.xyz	4
CYTOSINE	cytosine	C00380	InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)	C1(NC(=O)N=C(N)C=1)	19.9056	./dsgdb9nsd_004403.xyz	4
URACIL	uracil	C00106	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	C1(=CC(NC(=O)N1)=O)	-28.995518	./dsgdb9nsd_004258.xyz	4
URACIL	uracil	C00106	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	C1(=CC(NC(=O)N1)=O)	-28.995518	./dsgdb9nsd_004294.xyz	4
URACIL	uracil	C00106	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	C1(=CC(NC(=O)N1)=O)	-28.995518	./dsgdb9nsd_004332.xyz	4
URACIL	uracil	C00106	InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)	C1(=CC(NC(=O)N1)=O)	-28.995518	./dsgdb9nsd_004381.xyz	4
5-AMINOPENTANOATE	5-aminopentanoate	C00431	InChI=1S/C5H11NO2/c6-4-2-1-3-5(7)8/h1-4,6H2,(H,7,8)	C(CC[N+])CC(=O)[O-]	30.112318	./dsgdb9nsd_006790.xyz	5
PYRIMIDINE-RING	pyrimidine	C00396	InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H	C1(=CC=NC=N1)	67.19449	./dsgdb9nsd_000217.xyz	4
CREATININE	creatinine	C00791	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)	CN1(CC(=O)NC(=N)1)	64.98784	./dsgdb9nsd_007940.xyz	4
N-METHYLANILINE	<i>N</i>-methylaniline	C02299	InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3	CNC1(C=CC=CC=1)	130.8901	./dsgdb9nsd_005389.xyz	7
4-AMINO-BUTYRATE	4-aminobutanoate	C00334	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)	C(C[N+])CC([O-])=O	7.950089999999999	./dsgdb9nsd_001290.xyz	4
CPD-12925	trihydroxypyrazine	NIL	InChI=1S/C4H4N2O3/c7-2-1-5-3(8)4(9)6-2/h1H,(H,5,8)(H2,6,7,9)	C1(O)(=NC(O)=C(O)N=C1)	-51.245518	./dsgdb9nsd_028546.xyz	4
CPD-16172	O-aminobenzaldehyde	NIL	InChI=1S/C7H7NO/c8-7-4-2-1-3-6(7)5-9/h1-5H,8H2	C(C1(C(=CC=CC=1)N))=O	75.60784	./dsgdb9nsd_029010.xyz	7
CPD-28	N-methylmaleimide	NIL	InChI=1S/C5H5NO2/c1-6-4(7)2-3-5(6)8/h2-3H,1H3	CN1(C(C=CC1=O)=O)	9.125601	./dsgdb9nsd_012588.xyz	5
GLUTARIMIDE	glutarimide	C07275	InChI=1S/C5H7NO2/c7-4-2-1-3-5(8)6-4/h1-3H2,(H,6,7,8)	C1(CCCC(N1)=O)=O	13.117842000000001	./dsgdb9nsd_007724.xyz	5
CPD-11573	2,5-bis-hydroxymethylfuran	C20443	InChI=1S/C6H8O3/c7-3-5-1-2-6(4-8)9-5/h1-2,7-8H,3-4H2	C(O)C1(OC(CO)=CC=1)	-12.381041999999999	./dsgdb9nsd_031994.xyz	6
CPD-19080	(2R)-butan-2-ol	NIL	InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3/t4-/m1/s1	CCC(O)C	60.611206	./dsgdb9nsd_000084.xyz	4
CPD-19083	(2R)-pentan-2-ol	NIL	InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3/t5-/m1/s1	CCCC(O)C	82.773445	./dsgdb9nsd_000275.xyz	5
PENTANOL	pentan-1-ol	C16834	InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3	CCCCCO	84.58344	./dsgdb9nsd_000544.xyz	5
CPD-20998	3,3-dimethyl-1-butanol	NIL	InChI=1S/C6H14O/c1-6(2,3)4-5-7/h7H,4-5H2,1-3H3	CC(C)(C)CCO	101.70569	./dsgdb9nsd_001092.xyz	6
ETOH	ethanol	C00469	InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3	CCO	18.186723999999998	./dsgdb9nsd_000014.xyz	2
BUTANOL	butan-1-ol	C06142	InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3	CCCCO	61.64120500000001	./dsgdb9nsd_000134.xyz	4
METOH	methanol	C00132	InChI=1S/CH4O/c1-2/h2H,1H3	CO	-0.83551717	./dsgdb9nsd_000008.xyz	1
PROPANOL	propan-1-ol	C05979	InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3	CCCO	40.148967999999996	./dsgdb9nsd_000040.xyz	3
CPD-9057	1-heptanol	NIL	InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3	CCCCCCCO	128.90793	./dsgdb9nsd_014789.xyz	7
HEXANOL-CMPD	1-hexanol	NIL	InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	CCCCCCO	106.74568000000001	./dsgdb9nsd_002721.xyz	6
OCTANOL	1-octanol	C00756	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3	CCCCCCCCO	151.07019	./dsgdb9nsd_123247.xyz	8
CPD-11706	2-pyrone	NIL	InChI=1S/C5H4O2/c6-5-3-1-2-4-7-5/h1-4H	C1(=CC(=O)OC=C1)	2.374485	./dsgdb9nsd_000925.xyz	5
CPD-13555	4-hydroxybutyraldehyde	NIL	InChI=1S/C4H8O2/c5-3-1-2-4-6/h3,6H,1-2,4H2	C([CH]=O)CCO	15.128966	./dsgdb9nsd_000539.xyz	4
