Rxn	$\Delta G^\circ_{rxn}(DFT)$	$\Delta G^\circ_{rxn}(GCM)$	$\Delta G^\circ_{rxn}$(MPNNv2,chemgraph)
25-DIOXOPIPERAZINE-HYDROLASE-RXN	0.022327999999959047	10.196393356000002	-1.86639404296875
ACETONE-CYANHYDRIN-LYASE-RXN	-0.011222000000017829	94.64209255200001	2.7519073486328125
CREATINASE-RXN	-0.025353999999992993	-37.710394092	0.0478363037109375
CREATININASE-RXN	0.01034599999996999	6.8910454896	-1.04351806640625
CYANIDE-HYDRATASE-RXN	0.031998999999999	61.015272	0.10137939453125
GLYCEROL-DEHYDRATASE-RXN	-0.014831000000015138	-26.9742421424	-3.139801025390625
GUANIDINOACETASE-RXN	-0.024487000000021908	-18.5895471456	0.3686370849609375
R141-RXN	-0.06274000000001934	-425.90195384	-7.820831298828125
R313-RXN	0.023190999999997075	-20.8237412224	11.418365478515625
R63-RXN	0.0005830000000059954	-7.4600841336	-5.00335693359375
RXN-12256	-75.224714	-172.21344	-73.65625
RXN-12261	-75.22335199999998	-165.18431999999999	-72.47238159179688
RXN-12765	-0.03661999999997079	-61.0864	0.144775390625
RXN-13561	-75.22583000000003	-165.18431999999999	-80.66738891601562
RXN-14725	0.023760000000009995	-27.308945824800002	1.3717803955078125
RXN-14726	0.02287299999997572	-27.309018208	1.779876708984375
RXN-17589	-0.014235000000013542	-23.945078024	-3.0858917236328125
RXN-17609	0.020129999999994652	-27.308993104000002	-2.68890380859375
RXN-9702	-0.006467000000043299	9.790544519200001	6.384613037109375
